index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,fitted_cfo_hz,gain_real,gain_imag,power_before,power_after,suppression_db,fcs_pass,message
316,0,180990316,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 144865:154080."
317,0,181329772,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 157878
  required end (work)   : 426101 (buffer length 408501, short by 17600)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 314660 (recommended 364660)."
318,0,181861860,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 462366
  required end (work)   : 730589 (buffer length 532398, short by 198191)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 393155
  increase sample_num to at least 539512 (recommended 589512)."
319,0,182245771,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
320,0,184532912,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
321,1,184902379,184902380,292597,0.857285154,9904.55828,59.2075311,248.367381,593489.505,589410.63,0.0299507979,0,""
322,0,185968204,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.014 is below threshold 0.100."
323,0,186647116,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 134113:144864."
324,0,187130436,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
325,0,188676580,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 459318
  required end (work)   : 727541 (buffer length 494512, short by 233029)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 365178
  increase sample_num to at least 537262 (recommended 587262)."
326,0,189827436,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.014 is below threshold 0.100."
327,1,190579437,190579437,316038,0.957169787,-23850.8401,-119.614761,49.6860833,644693.606,643631.946,0.00715771621,0,""
328,0,190799788,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 146701
  required end (work)   : 414924 (buffer length 408501, short by 6423)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 306406 (recommended 356406)."
329,0,191188012,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 134113:144864."
330,0,191527468,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 186325
  required end (work)   : 454548 (buffer length 408501, short by 46047)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 335667 (recommended 385667)."
331,1,191717099,191717099,260837,0.957307287,-7365.84675,-430.788665,-411.11147,586721.138,564542.261,0.167352769,0,""
332,0,192093319,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
333,0,192692140,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 146702
  required end (work)   : 414925 (buffer length 408501, short by 6424)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 306407 (recommended 356407)."
334,0,193080364,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 134113:144864."
335,1,193896388,193896388,227565,0.860044071,-1165.61286,2233.35905,1896.60473,1172350.28,635835.791,2.65712421,1,""
336,0,194189516,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 169054
  required end (work)   : 437277 (buffer length 408501, short by 28776)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 322913 (recommended 372913)."
337,0,194577740,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 155846
  required end (work)   : 424069 (buffer length 408501, short by 15568)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 313159 (recommended 363159)."
338,0,195123756,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.013 is below threshold 0.100."
339,1,196256494,196256495,243445,0.856270576,-3935.67751,-1010.46527,750.449137,638368.763,539322.014,0.732234806,0,""
340,0,196647820,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.093 is below threshold 0.100."
341,0,196893580,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.043 is below threshold 0.100."
342,1,197716356,197716356,227565,0.855374851,-14701.2197,-254.937523,-174.279836,977919.727,971942.726,0.0266253311,1,""
343,0,198009484,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 134113:144864."
344,0,198549075,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
345,0,199305548,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
346,0,200034636,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.013 is below threshold 0.100."
347,0,202599148,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.013 is below threshold 0.100."
348,0,203278060,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 161942
  required end (work)   : 430165 (buffer length 408501, short by 21664)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 317661 (recommended 367661)."
349,1,204222476,204222381,220759,0.955491012,-29873.3332,-48.4823691,124.800495,599432.075,598319.67,0.00806697661,0,""
350,1,204582845,204582846,306964,0.857732793,4240.66807,-141.156316,361.49197,626384.662,616951.403,0.0659015799,0,""
351,1,204971852,204971819,221515,0.947113718,-23989.6079,-155.485401,-176.637746,639308.944,635855.836,0.02352119,0,""
352,1,205258756,205258756,227565,0.859108245,-616.169479,-2525.34147,-595.267257,1126778.72,706326.442,2.02833172,1,""
353,1,205646980,205646980,227565,0.85809867,-9163.27074,277.264687,-404.943604,1073995.42,1058925.18,0.0613715186,1,""
354,0,206083972,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
355,0,206467884,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.015 is below threshold 0.100."
356,0,208005676,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
357,0,208644172,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.018 is below threshold 0.100."
358,1,209124491,209124492,303939,0.857057161,11957.1606,-164.199308,-125.185375,619330.168,616677.687,0.0186400018,0,""
359,0,210869228,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 134113:144864."
360,0,211257452,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 134113:144864."
361,0,212415372,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.035 is below threshold 0.100."
362,0,212898692,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
363,0,214049548,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.014 is below threshold 0.100."
364,1,214801549,214801549,282766,0.957594792,-3512.57946,-868.249924,-911.89405,570814.229,471714.115,0.828159182,0,""
365,0,215410124,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 134113:144864."
366,1,215939211,215939211,298646,0.956579783,-13496.23,-70.4552849,-276.114927,608298.74,603225.473,0.0363724423,0,""
367,0,216318092,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.012 is below threshold 0.100."
368,0,216526028,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 159910
  required end (work)   : 428133 (buffer length 408501, short by 19632)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 316160 (recommended 366160)."
369,0,216914252,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 146702
  required end (work)   : 414925 (buffer length 408501, short by 6424)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 306407 (recommended 356407)."
370,1,217351055,217351055,227565,0.859239394,-1678.8353,2283.23337,2770.02385,1231103.64,426080.643,4.60802811,1,""
371,0,217641932,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 186326
  required end (work)   : 454549 (buffer length 408501, short by 46048)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 335667 (recommended 385667)."
372,0,218120940,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.013 is below threshold 0.100."
373,0,219345868,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
374,0,220478606,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
375,0,221892140,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.015 is below threshold 0.100."
376,0,222182827,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 187343
  required end (work)   : 455566 (buffer length 408501, short by 47065)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 336418 (recommended 386418)."
377,1,222666148,222666148,227565,0.859638556,-2386.84805,1578.92541,-2263.10365,1140673.6,664888.272,2.34412717,1,""
378,0,223505964,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.014 is below threshold 0.100."
379,1,224212292,224212293,227565,0.856260498,165.521861,1207.99138,1532.4182,962779.962,724921.872,1.23235839,1,""
380,0,224456652,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 183278
  required end (work)   : 451501 (buffer length 408501, short by 43000)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 333417 (recommended 383417)."
381,0,224844876,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 170070
  required end (work)   : 438293 (buffer length 408501, short by 29792)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 323663 (recommended 373663)."
382,0,226146660,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
383,0,227457547,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 219663
  required end (work)   : 487886 (buffer length 408501, short by 79385)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 360286 (recommended 410286)."
384,0,227672203,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
385,0,227888396,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 148734
  required end (work)   : 416957 (buffer length 408501, short by 8456)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 307907 (recommended 357907)."
386,0,228444588,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
387,0,228804957,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 144871:212454."
388,0,229773995,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 157879
  required end (work)   : 426102 (buffer length 408501, short by 17601)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 314660 (recommended 364660)."
389,1,230306084,230306085,265374,0.856390406,-15763.8627,2.66380424,-31.0116359,647836.08,647773.349,0.000420560608,0,""
390,0,233346603,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
391,1,234869488,234869489,237395,0.857032823,5225.90876,-339.64169,-218.919073,605825.581,595641.682,0.0736252609,0,""
392,1,235525892,235525892,227565,0.860841752,-2434.30131,2614.44484,1170.41454,1184698.89,672224.834,2.46093429,1,""
393,0,235867788,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 144865:154080."
394,0,236207244,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 158894
  required end (work)   : 427117 (buffer length 408501, short by 18616)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 315410 (recommended 365410)."
395,0,237123244,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
396,1,237411492,237411492,227565,0.861327881,-1778.2496,-2849.43131,-1431.34382,1215444,580335.331,3.21055943,1,""
397,0,238271660,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.012 is below threshold 0.100."
